Date,Start Time,End Time,,,,,,Send data from,238,
"Thu, Jun 3 ",3:00:00 PM,4:30:00 PM,,,,,,,,
"Fri, Jun 4 ",1:00:00 AM,6:00:00 AM,,,,,,,,
"Fri, Jun 4 ",7:00:00 AM,10:00:00 AM,,,,,,,,
"Fri, Jun 4 ",5:00:00 PM,5:45:00 PM,,,,,,,,
"Sat, Jun 5 ",1:15:00 AM,6:00:00 AM,,,,,,,,
"Sat, Jun 5 ",9:00:00 AM,10:00:00 AM,,,,,,,,
"Sun, Jun 6 ",2:00:00 AM,6:30:00 AM,,,,,,,,
"Sun, Jun 6 ",7:00:00 AM,9:00:00 AM,,,,,,,,
"Sun, Jun 6 ",4:00:00 PM,5:00:00 PM,,,,,,,,
"Mon, Jun 7 ",2:00:00 AM,6:20:00 AM,,,,,,,,
"Mon, Jun 7 ",8:00:00 PM,8:31:13 PM,,,,,,,,
"Mon, Jun 7 ",11:00:00 PM,11:59:00 PM,,,,,,,,
"Tue, Jun 8 ",12:00:00 AM,6:00:00 AM,,,,,,,,
"Wed, Jun 9 ",1:00:00 AM,6:30:00 AM,,,,,,,,
"Wed, Jun 9 ",7:15:00 AM,9:30:00 AM,,,,,,,,
"Wed, Jun 9 ",11:00:00 PM,11:59:00 PM,,,,,,,,
"Thu, Jun 10 ",12:00:00 AM,6:30:00 AM,,,,,,,,
"Thu, Jun 10 ",1:30:00 PM,2:00:00 PM,,,,,,,,
"Thu, Jun 10 ",2:30:00 PM,4:30:00 PM,,,,,,,,
"Fri, Jun 11 ",12:30:00 AM,6:30:00 AM,,,,,,,,
"Fri, Jun 11 ",7:30:00 AM,8:30:00 AM,,,,,,,,
"Fri, Jun 11 ",3:30:00 PM,5:30:00 PM,,,,,,,,
"Sat, Jun 12 ",12:30:00 AM,6:00:00 AM,,,,,,,,
"Sat, Jun 12 ",7:00:00 AM,10:00:00 AM,,,,,,,,
"Sun, Jun 13 ",1:00:00 AM,6:00:00 AM,,,,,,,,
"Sun, Jun 13 ",7:00:00 AM,8:30:00 AM,,,,,,,,
"Sun, Jun 13 ",9:00:00 AM,10:00:00 AM,,,,,,,,
"Mon, Jun 14 ",12:35:00 AM,6:15:00 AM,,,,,,,,
"Mon, Jun 14 ",7:30:00 AM,9:00:00 AM,,,,,,,,
"Mon, Jun 14 ",2:15:00 PM,3:30:01 PM,,,,,,,,
"Tue, Jun 15 ",1:00:00 AM,6:30:00 AM,,,,,,,,
"Tue, Jun 15 ",10:15:00 PM,11:59:00 PM,,,,,,,,
"Wed, Jun 16 ",12:00:00 AM,6:00:00 AM,,,,,,,,
"Wed, Jun 16 ",10:10:00 PM,10:30:00 PM,,,,,,,,
"Wed, Jun 16 ",11:00:00 PM,11:59:00 PM,,,,,,,,
"Thu, Jun 17 ",12:00:00 AM,6:00:00 AM,,,,,,,,
"Thu, Jun 17 ",7:15:00 AM,9:00:22 AM,,,,,,,,
